Date,Open,High,Low,Close,Adj Close,Volume
6/26/2014,28.65,33,28.65,31.34,31.34,45837300
6/27/2014,32.970001,40.470001,29.497999,35.759998,35.759998,45727200
6/30/2014,39.439999,41.189999,37.830002,40.549999,40.549999,24928700
7/1/2014,45,49.900002,44.400002,48.799999,48.799999,41795200
7/2/2014,46.900002,46.98,41.529999,42.040001,42.040001,29324100
7/3/2014,43.970001,45.240002,40.740002,41.580002,41.580002,15536600
7/7/2014,42.98,44.439999,41.759998,43.959999,43.959999,17032400
7/8/2014,43.884998,44.990002,41.529999,42.200001,42.200001,10883900
7/9/2014,43.009998,43.700001,41.75,43.299999,43.299999,5873700
7/10/2014,41.73,42.75,40.599998,41.939999,41.939999,4988100
7/11/2014,42.450001,42.880001,38.73,38.84,38.84,9330300
7/14/2014,38.869999,39.099998,36.099998,36.84,36.84,10712400
7/15/2014,39.09,42.099998,38.23,41.630001,41.630001,19809200
7/16/2014,43.799999,44.439999,40.799999,40.900002,40.900002,11337200
7/17/2014,40.5,42.130001,40,40.34,40.34,4755000
7/18/2014,41.07,42.549999,40.400002,41.43,41.43,5215800
7/21/2014,43.200001,43.799999,41.5,41.580002,41.580002,9189100
7/22/2014,42.849998,43.25,42.200001,43.099998,43.099998,5829200
7/23/2014,43.830002,44.830002,40.82,41.740002,41.740002,10362900
7/24/2014,42.299999,42.400002,41.32,42.189999,42.189999,3373500
7/25/2014,41.82,42.400002,41.060001,41.98,41.98,2837900
7/28/2014,42.299999,43.700001,41.23,43.25,43.25,5882900
7/29/2014,43.68,44.75,43.290001,44.07,44.07,5903600
7/30/2014,44.720001,46.34,44.25,46.316002,46.316002,6482100
7/31/2014,45.099998,48.400002,44.619999,47.970001,47.970001,14662000
8/1/2014,41.970001,44.790001,40.52,40.970001,40.970001,13311300
8/4/2014,41.439999,41.799999,38.349998,38.529999,38.529999,6683600
8/5/2014,38.639999,40.139999,38.349998,38.869999,38.869999,4010500
8/6/2014,39.360001,40.130001,38.529999,38.720001,38.720001,2257700
8/7/2014,39.849998,39.849998,38.27,38.700001,38.700001,2043300
8/8/2014,39.16,39.16,37.240002,37.650002,37.650002,2423600
8/11/2014,38.639999,38.77,38.099998,38.200001,38.200001,1562000
8/12/2014,38.650002,38.692001,37.700001,38.040001,38.040001,1317700
8/13/2014,38.490002,39.040001,38.009998,38.189999,38.189999,2163000
8/14/2014,38.25,39.82,38.049999,39.490002,39.490002,2892000
8/15/2014,39.509998,40.25,38.900002,39.790001,39.790001,2821800
8/18/2014,40.5,42.599998,40.040001,41.849998,41.849998,3901200
8/19/2014,42.34,43.5,42.049999,43.360001,43.360001,4056800
8/20/2014,42.904999,44.599998,42.759998,43.889999,43.889999,3426300
8/21/2014,44.599998,44.860001,43.026001,43.169998,43.169998,2688700
8/22/2014,43,43.830002,42.700001,43.290001,43.290001,1683000
8/25/2014,43.849998,44.349998,43.300999,43.849998,43.849998,1847800
8/26/2014,44.799999,45.799999,44.57,45.290001,45.290001,3774100
8/27/2014,45.869999,46,45.290001,45.5,45.5,1906300
8/28/2014,45.5,49.860001,44.630001,48.900002,48.900002,10589100
8/29/2014,49.470001,52.130001,49.450001,51.799999,51.799999,10254400
9/2/2014,53,55.349998,52.52,53.939999,53.939999,9075600
9/3/2014,55.950001,57.450001,55.43,56.860001,56.860001,9221200
9/4/2014,54.299999,55.879002,52.299999,53.080002,53.080002,8197700
