"SEQUENCED, STRENGTH-TWO ORTHOGONAL ARRAY",,,,
Number variables,4,,,
"Total points in design, Points printed to sheet",1024,1024,,
"Max Correlation, Uniformity Index (NA if not computed)",0.0000,1.0000,,
,,,,
ASSUMPTIONS,,,,
Variable name,x1,x2,x3,x4
"Variable Type [Continuous, Qualitative, Increment]",C,C,C,C
"Lower bound [C,I], or levels [Q]",0,0,0,0
"Upper bound [C,I], or NA [Q]",1,1,1,1
,,,,
Point,x1,x2,x3,x4
1,0.064516129,0.096774194,0.161290323,0
2,1,1,0.935483871,0.935483871
3,0.64516129,0.612903226,0.032258065,0.516129032
4,0,0.419354839,0.548387097,1
5,1,0,0.612903226,0.451612903
6,0.419354839,0.903225806,0.677419355,0.032258065
7,0.290322581,0.35483871,1,0.64516129
8,0.516129032,0.032258065,0.35483871,0.838709677
9,0.935483871,0.451612903,0.193548387,0.193548387
10,0.193548387,0.806451613,0.322580645,0.35483871
