"SEQUENCED, STRENGTH-TWO ORTHOGONAL ARRAY",,,,,,,,,,,
Number variables,11,,,,,,,,,,
"Total points in design, Points printed to sheet",1024,1024,,,,,,,,,
"Max Correlation, Uniformity Index (NA if not computed)",0.0000,1.0000,,,,,,,,,
,,,,,,,,,,,
ASSUMPTIONS,,,,,,,,,,,
Variable name,SMA1_Period,SMA2_Period,RSI_Period,BuyFactor,SellFactor,SMA1buyCoef,SMA2buyCoef,RSIbuyCoef,SMA1sellCoef,SMA2sellCoef,RSIsellCoef
"Variable Type [Continuous, Qualitative, Increment]",C,C,C,C,C,C,C,C,C,C,C
"Lower bound [C,I], or levels [Q]",1,1,1,-100,-100,-1000,-1000,-1000,-1000,-1000,-1000
"Upper bound [C,I], or NA [Q]",200,200,200,100,100,1000,1000,1000,1000,1000,1000
,,,,,,,,,,,
Point,SMA1_Period,SMA2_Period,RSI_Period,BuyFactor,SellFactor,SMA1buyCoef,SMA2buyCoef,RSIbuyCoef,SMA1sellCoef,SMA2sellCoef,RSIsellCoef
1,155.0645161,180.7419355,193.5806452,93.5483871,80.64516129,-806.4516129,-677.4193548,-677.4193548,419.3548387,806.4516129,-935.483871
2,13.83870968,13.83870968,26.67741935,-35.48387097,-16.12903226,741.9354839,1000,806.4516129,-290.3225806,-290.3225806,548.3870968
3,71.61290323,97.29032258,155.0645161,-100,-74.19354839,-935.483871,419.3548387,225.8064516,-677.4193548,-806.4516129,1000
4,142.2258065,78.03225806,1,48.38709677,35.48387097,161.2903226,677.4193548,-32.25806452,935.483871,225.8064516,-354.8387097
5,180.7419355,110.1290323,97.29032258,-48.38709677,-93.5483871,-96.77419355,-935.483871,-225.8064516,161.2903226,32.25806452,96.77419355
6,103.7096774,167.9032258,135.8064516,9.677419355,61.29032258,483.8709677,-96.77419355,806.4516129,161.2903226,-870.9677419,-354.8387097
7,167.9032258,155.0645161,65.19354839,-87.09677419,93.5483871,1000,32.25806452,419.3548387,-935.483871,-354.8387097,290.3225806
8,45.93548387,20.25806452,116.5483871,54.83870968,-3.225806452,419.3548387,-419.3548387,-741.9354839,-935.483871,-612.9032258,935.483871
9,116.5483871,129.3870968,180.7419355,41.93548387,-35.48387097,-419.3548387,-1000,677.4193548,548.3870968,483.8709677,-548.3870968
10,155.0645161,200,20.25806452,-9.677419355,-61.29032258,-161.2903226,354.8387097,-419.3548387,-161.2903226,354.8387097,806.4516129
11,180.7419355,193.5806452,58.77419355,67.74193548,22.58064516,-354.8387097,741.9354839,161.2903226,-483.8709677,741.9354839,-96.77419355
12,84.4516129,33.09677419,155.0645161,29.03225806,87.09677419,-548.3870968,-96.77419355,32.25806452,-483.8709677,-161.2903226,-741.9354839
13,58.77419355,90.87096774,90.87096774,93.5483871,48.38709677,741.9354839,-548.3870968,935.483871,806.4516129,483.8709677,677.4193548
14,193.5806452,45.93548387,200,-61.29032258,-61.29032258,1000,677.4193548,677.4193548,-32.25806452,96.77419355,-1000
15,13.83870968,129.3870968,52.35483871,9.677419355,48.38709677,870.9677419,-677.4193548,-935.483871,32.25806452,-741.9354839,225.8064516
16,33.09677419,33.09677419,116.5483871,-9.677419355,16.12903226,-1000,483.8709677,-1000,548.3870968,-935.483871,-1000
17,20.25806452,97.29032258,78.03225806,-54.83870968,-41.93548387,225.8064516,-225.8064516,-870.9677419,-548.3870968,-419.3548387,-161.2903226
18,142.2258065,20.25806452,148.6451613,-48.38709677,16.12903226,-677.4193548,290.3225806,-548.3870968,32.25806452,935.483871,612.9032258
19,103.7096774,65.19354839,103.7096774,22.58064516,22.58064516,1000,870.9677419,-354.8387097,-225.8064516,225.8064516,-612.9032258
20,71.61290323,187.1612903,174.3225806,-9.677419355,-9.677419355,870.9677419,-96.77419355,-96.77419355,354.8387097,935.483871,483.8709677
21,142.2258065,1,71.61290323,-67.74193548,-3.225806452,612.9032258,483.8709677,548.3870968,225.8064516,-741.9354839,32.25806452
22,200,33.09677419,180.7419355,54.83870968,100,-741.9354839,1000,-870.9677419,-677.4193548,161.2903226,96.77419355
23,167.9032258,13.83870968,78.03225806,100,67.74193548,96.77419355,-354.8387097,32.25806452,677.4193548,677.4193548,-548.3870968
24,45.93548387,97.29032258,39.51612903,87.09677419,-100,32.25806452,32.25806452,741.9354839,-806.4516129,-225.8064516,161.2903226
25,193.5806452,129.3870968,26.67741935,-22.58064516,-22.58064516,-1000,-354.8387097,-612.9032258,870.9677419,-548.3870968,-96.77419355
26,129.3870968,45.93548387,129.3870968,22.58064516,-41.93548387,741.9354839,548.3870968,-225.8064516,741.9354839,354.8387097,225.8064516
27,78.03225806,200,7.419354839,-87.09677419,-93.5483871,290.3225806,-483.8709677,677.4193548,-290.3225806,-612.9032258,-419.3548387
28,13.83870968,26.67741935,90.87096774,100,-74.19354839,612.9032258,-870.9677419,354.8387097,1000,-1000,419.3548387
29,65.19354839,180.7419355,129.3870968,-41.93548387,-3.225806452,-161.2903226,870.9677419,161.2903226,-32.25806452,548.3870968,-741.9354839
30,122.9677419,103.7096774,174.3225806,-67.74193548,54.83870968,-612.9032258,-290.3225806,-1000,-870.9677419,-290.3225806,-870.9677419
31,122.9677419,65.19354839,116.5483871,-100,29.03225806,548.3870968,-548.3870968,-870.9677419,-354.8387097,-161.2903226,483.8709677
32,90.87096774,161.483871,193.5806452,-67.74193548,-16.12903226,225.8064516,-1000,1000,-677.4193548,-1000,-354.8387097
33,90.87096774,78.03225806,13.83870968,35.48387097,29.03225806,-870.9677419,225.8064516,-741.9354839,741.9354839,548.3870968,96.77419355
34,39.51612903,142.2258065,103.7096774,-22.58064516,93.5483871,96.77419355,-225.8064516,-548.3870968,161.2903226,483.8709677,1000
35,39.51612903,26.67741935,142.2258065,-67.74193548,-54.83870968,870.9677419,96.77419355,161.2903226,870.9677419,354.8387097,-225.8064516
36,65.19354839,110.1290323,78.03225806,-87.09677419,-16.12903226,-483.8709677,96.77419355,-741.9354839,1000,-806.4516129,806.4516129
37,174.3225806,78.03225806,33.09677419,9.677419355,80.64516129,354.8387097,-548.3870968,-225.8064516,-677.4193548,-290.3225806,806.4516129
38,110.1290323,148.6451613,78.03225806,61.29032258,9.677419355,-870.9677419,612.9032258,870.9677419,225.8064516,32.25806452,419.3548387
39,1,193.5806452,45.93548387,-93.5483871,67.74193548,741.9354839,870.9677419,225.8064516,548.3870968,1000,32.25806452
40,193.5806452,58.77419355,45.93548387,100,35.48387097,483.8709677,-935.483871,-96.77419355,-161.2903226,-354.8387097,612.9032258
41,148.6451613,142.2258065,161.483871,48.38709677,-80.64516129,1000,-677.4193548,935.483871,290.3225806,1000,870.9677419
42,167.9032258,116.5483871,122.9677419,9.677419355,-61.29032258,-741.9354839,-225.8064516,483.8709677,935.483871,-548.3870968,548.3870968
43,148.6451613,7.419354839,45.93548387,-22.58064516,-29.03225806,-96.77419355,1000,354.8387097,-870.9677419,-806.4516129,-741.9354839
44,129.3870968,174.3225806,200,74.19354839,67.74193548,-935.483871,-677.4193548,483.8709677,-1000,-290.3225806,-161.2903226
45,39.51612903,167.9032258,58.77419355,54.83870968,-74.19354839,-548.3870968,548.3870968,-354.8387097,32.25806452,677.4193548,548.3870968
46,129.3870968,1,1,-54.83870968,-100,1000,225.8064516,-290.3225806,612.9032258,-1000,-483.8709677
47,193.5806452,148.6451613,103.7096774,74.19354839,-41.93548387,870.9677419,1000,-677.4193548,612.9032258,612.9032258,677.4193548
48,167.9032258,161.483871,1,-22.58064516,74.19354839,-870.9677419,-935.483871,-419.3548387,-483.8709677,-96.77419355,-1000
49,90.87096774,142.2258065,45.93548387,-35.48387097,41.93548387,-483.8709677,-354.8387097,741.9354839,419.3548387,354.8387097,419.3548387
50,167.9032258,129.3870968,142.2258065,80.64516129,54.83870968,-290.3225806,870.9677419,-290.3225806,-161.2903226,161.2903226,419.3548387
51,13.83870968,174.3225806,84.4516129,-80.64516129,100,-32.25806452,-32.25806452,-96.77419355,677.4193548,-32.25806452,-677.4193548
52,1,84.4516129,110.1290323,100,16.12903226,-290.3225806,-806.4516129,96.77419355,-806.4516129,-612.9032258,-161.2903226
53,187.1612903,187.1612903,155.0645161,-35.48387097,3.225806452,-612.9032258,-806.4516129,483.8709677,548.3870968,32.25806452,-354.8387097
