"SEQUENCED, STRENGTH-TWO ORTHOGONAL ARRAY",,,,,,,,,,,,,
Number variables,13,,,,,,,,,,,,
"Total points in design, Points printed to sheet",1024,1024,,,,,,,,,,,
"Max Correlation, Uniformity Index (NA if not computed)",0.0000,1.0000,,,,,,,,,,,
,,,,,,,,,,,,,
ASSUMPTIONS,,,,,,,,,,,,,
Variable name,SMA1_Period,SMA2_Period,RSI_Period,BuyFactor,SellFactor,SMA1buyCoef,SMA2buyCoef,RSIbuyCoef,SMA1sellCoef,SMA2sellCoef,RSIsellCoef,OBV_buyfactor,OBV_sellfactor
"Variable Type [Continuous, Qualitative, Increment]",C,C,C,C,C,C,C,C,C,C,C,C,C
"Lower bound [C,I], or levels [Q]",1,1,1,0,0,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
"Upper bound [C,I], or NA [Q]",200,200,200,10,10,1000,1000,1000,1000,1000,1000,1000,1000
,,,,,,,,,,,,,
Point,SMA1_Period,SMA2_Period,RSI_Period,BuyFactor,SellFactor,SMA1buyCoef,SMA2buyCoef,RSIbuyCoef,SMA1sellCoef,SMA2sellCoef,RSIsellCoef,OBV_buyfactor,OBV_sellfactor
1,13.83870968,26.67741935,90.87096774,10,1.290322581,612.9032258,-870.9677419,354.8387097,1000,-1000,419.3548387,1000,1000
2,167.9032258,180.7419355,167.9032258,2.258064516,9.35483871,-612.9032258,483.8709677,-806.4516129,-225.8064516,354.8387097,-419.3548387,-612.9032258,-419.3548387
3,65.19354839,52.35483871,1,5.483870968,5.483870968,806.4516129,290.3225806,935.483871,-806.4516129,870.9677419,-870.9677419,483.8709677,32.25806452
4,129.3870968,90.87096774,20.25806452,0.322580645,3.870967742,225.8064516,741.9354839,741.9354839,354.8387097,-612.9032258,96.77419355,96.77419355,483.8709677
5,97.29032258,97.29032258,110.1290323,4.193548387,6.774193548,-548.3870968,-677.4193548,-161.2903226,548.3870968,-96.77419355,677.4193548,677.4193548,-806.4516129
6,26.67741935,193.5806452,135.8064516,7.419354839,0,-225.8064516,-483.8709677,-612.9032258,-32.25806452,32.25806452,-870.9677419,96.77419355,290.3225806
7,129.3870968,174.3225806,200,8.709677419,8.387096774,-935.483871,-677.4193548,483.8709677,-1000,-290.3225806,-161.2903226,-935.483871,870.9677419
8,148.6451613,1,200,4.838709677,10,-161.2903226,96.77419355,-1000,-483.8709677,-419.3548387,225.8064516,870.9677419,-548.3870968
9,39.51612903,161.483871,65.19354839,3.548387097,10,935.483871,741.9354839,32.25806452,935.483871,32.25806452,806.4516129,-483.8709677,-1000
10,180.7419355,116.5483871,142.2258065,3.548387097,5.806451613,225.8064516,-290.3225806,-354.8387097,-290.3225806,-806.4516129,935.483871,-1000,161.2903226
