Date,Open,High,Low,Close,Adj Close,Volume
5/3/2017,29.309999,30.07,28.799999,29.76,29.76,3376800
5/2/2017,28.4,29.190001,28.290001,28.6,28.6,3154300
5/1/2017,30.26,30.34,27.959999,28.469999,28.469999,4351200
4/28/2017,30.93,31.639999,30.799999,30.91,30.91,2876200
4/27/2017,30.790001,31.639999,30.700001,30.860001,30.860001,3450700
4/26/2017,31.040001,32.470001,30.809999,31.469999,31.469999,4537500
4/25/2017,31.389999,31.76,30.75,30.879999,30.879999,3712000
4/24/2017,34.459999,35.580002,32.189999,32.419998,32.419998,7287800
4/21/2017,41.509998,42.950001,41.02,41.209999,41.209999,4928000
4/20/2017,41.889999,43.220001,40.169998,40.880001,40.880001,5733800
4/19/2017,39.82,43.68,39.25,43.099998,43.099998,5931900
4/18/2017,42.830002,44.369999,41,41,41,5754500
4/17/2017,44.93,45.029999,41.830002,41.84,41.84,4799800
4/13/2017,45.110001,47.189999,43.27,46.490002,46.490002,7293900
4/12/2017,44.52,45.720001,43.23,44.799999,44.799999,6118800
4/11/2017,42.73,45.240002,42.09,44.349998,44.349998,9046000
4/10/2017,38.240002,40.68,37.290001,40.68,40.68,5885800
4/7/2017,36.439999,38.169998,35.619999,37.919998,37.919998,6195500
4/6/2017,35.91,36.459999,33.849998,35.400002,35.400002,6564400
4/5/2017,33.689999,36.950001,32.939999,36.740002,36.740002,5833400
4/4/2017,36.34,36.66,34.150002,34.48,34.48,4161900
4/3/2017,35.07,37.93,34.709999,35.389999,35.389999,5143800
3/31/2017,33.919998,35.18,33.470001,35.080002,35.080002,3484500
3/30/2017,33.700001,34.52,33.279999,33.84,33.84,3392300
3/29/2017,33.610001,34.150002,32.900002,33.619999,33.619999,3340500
3/28/2017,37.189999,37.290001,33.75,33.900002,33.900002,6795600
3/27/2017,42.689999,43.200001,37.279999,37.939999,37.939999,6282400
3/24/2017,39.860001,43.200001,38.139999,39.560001,39.560001,8226600
3/23/2017,39.189999,41.490002,37.419998,41.099998,41.099998,5393100
3/22/2017,38.779999,39.880001,37.299999,38.490002,38.490002,5782800
3/21/2017,34.099998,38.779999,33.57,38.07,38.07,8485000
3/20/2017,35.299999,35.470001,34.459999,35.41,35.41,3240200
3/17/2017,35.73,35.869999,34.299999,35.349998,35.349998,3943600
3/16/2017,37.310001,37.549999,36.09,36.279999,36.279999,5753800
3/15/2017,39.900002,40.200001,37.099998,3.78,37.799999,2063900
3/14/2017,39.799999,41.400002,39.200001,4.09,40.900002,1778100
3/13/2017,40.799999,41.299999,39.299999,3.95,39.5,1102700
3/10/2017,41.400002,42.700001,41,4.13,41.299999,1163600
3/9/2017,42.299999,43.799999,41.299999,4.24,42.400002,1353700
3/8/2017,41.299999,43.099998,40.5,4.28,42.799999,1382300
3/7/2017,42.200001,43.099998,40.799999,4.22,42.200001,1189400
3/6/2017,43.599998,44.099998,41.799999,4.23,42.299999,1363600
3/3/2017,45.400002,45.400002,43.5,4.4,44,1444700
3/2/2017,46.299999,47.5,44.700001,4.66,46.599998,1725600
3/1/2017,44.299999,46.5,43.700001,4.64,46.400002,2151400
2/28/2017,46.599998,49,45.900002,4.85,48.5,1610200
2/27/2017,46.599998,47.400002,44.099998,4.6,46,1660300
2/24/2017,51.299999,51.799999,46.299999,4.67,46.700001,2203800
2/23/2017,45.5,49.099998,45.200001,4.78,47.799999,1794000
2/22/2017,45.700001,47,44.299999,4.54,45.400002,1646700
2/21/2017,42.700001,45.200001,42.400002,4.5,45,1379900
2/17/2017,45.799999,46.5,43.599998,4.4,44,1522900
2/16/2017,43.200001,48.099998,43.099998,4.36,43.599998,2780600
2/15/2017,40.599998,43.299999,40,4.32,43.200001,2167400
2/14/2017,44.5,44.599998,40.599998,4.07,40.700001,1868700
