Date,Open,High,Low,Close,Adj Close,Volume
5/3/2017,14.64,14.85,14.52,14.78,14.78,47357400
5/2/2017,14.43,14.62,14.39,14.46,14.46,35814900
5/1/2017,14.86,14.89,14.31,14.45,14.45,44811600
4/28/2017,15.04,15.21,15,15.01,15.01,44776800
4/27/2017,15.01,15.2,14.97,15.01,15.01,40361600
4/26/2017,15.07,15.41,14.99,15.15,15.15,51564200
4/25/2017,15.15,15.24,14.98,15.03,15.03,35623700
4/24/2017,15.83,16.059999,15.33,15.37,15.37,73211800
4/21/2017,17.280001,17.610001,17.18,17.200001,17.200001,65952500
4/20/2017,17.370001,17.65,17.01,17.16,17.16,65064100
4/19/2017,16.950001,17.76,16.83,17.610001,17.610001,56697200
4/18/2017,17.58,17.889999,17.190001,17.209999,17.209999,72738700
4/17/2017,17.959999,17.99,17.360001,17.360001,17.360001,54040800
4/13/2017,17.98,18.4,17.620001,18.26,18.26,76358900
4/12/2017,17.85,18.120001,17.6,17.92,17.92,78748700
4/11/2017,17.49,18.02,17.370001,17.84,17.84,93226700
4/10/2017,16.52,17.08,16.32,17.07,17.07,67230900
4/7/2017,16.120001,16.52,15.95,16.450001,16.450001,68119900
4/6/2017,16.02,16.129999,15.56,15.89,15.89,56203000
4/5/2017,15.5,16.25,15.33,16.17,16.17,69046300
4/4/2017,16.09,16.16,15.6,15.68,15.68,41762300
4/3/2017,15.81,16.459999,15.73,15.85,15.85,63606600
3/31/2017,15.54,15.83,15.43,15.79,15.79,40053600
3/30/2017,15.48,15.69,15.4,15.52,15.52,37598000
3/29/2017,15.46,15.59,15.3,15.45,15.45,41461300
3/28/2017,16.26,16.27,15.49,15.54,15.54,64286900
3/27/2017,17.41,17.52,16.27,16.440001,16.440001,78648600
3/24/2017,16.799999,17.5,16.450001,16.77,16.77,87155300
3/23/2017,16.65,17.16,16.280001,17.08,17.08,75131800
3/22/2017,16.58,16.82,16.25,16.49,16.49,63242000
3/21/2017,15.52,16.58,15.41,16.4,16.4,111119700
3/20/2017,15.79,15.84,15.6,15.81,15.81,37235900
3/17/2017,15.89,15.92,15.57,15.81,15.81,44083900
3/16/2017,16.23,16.280001,15.97,16,16,48046000
3/15/2017,16.76,16.82,16.190001,16.34,16.34,50651600
3/14/2017,16.709999,17.09,16.59,16.959999,16.959999,44383500
3/13/2017,16.93,17.030001,16.629999,16.67,16.67,26058300
3/10/2017,17.08,17.33,16.98,17.01,17.01,34513500
3/9/2017,17.24,17.549999,17.030001,17.26,17.26,38370000
3/8/2017,17.040001,17.4,16.870001,17.309999,17.309999,40735200
3/7/2017,17.209999,17.41,16.92,17.209999,17.209999,40674700
3/6/2017,17.5,17.58,17.139999,17.209999,17.209999,32078900
3/3/2017,17.83,17.84,17.440001,17.540001,17.540001,35499100
