Date,Open,High,Low,Close,Adj Close,Volume
5/4/2012,11.82,11.86,11.25,11.42,11.42,7816100
5/7/2012,11.15,11.69,11.1,11.59,11.59,6169700
5/8/2012,11.33,11.53,10.73,11.45,11.45,11143500
5/9/2012,10.89,11.39,10.67,11.01,11.01,13741200
5/10/2012,11.34,11.5,11.2,11.38,11.38,7763300
5/11/2012,11.07,11.56,11.03,11.18,11.18,8098400
5/14/2012,10.7,10.86,10.51,10.54,10.54,11631200
5/15/2012,10.47,10.67,9.97,9.99,9.99,12257400
5/16/2012,10.15,10.32,9.61,9.65,9.65,14047900
5/17/2012,9.73,9.85,9.19,9.19,9.19,17442500
5/18/2012,9.23,9.28,8.41,8.57,8.57,19163400
5/21/2012,8.59,9.49,8.48,9.48,9.48,14680800
5/22/2012,9.59,10,8.8,9.15,9.15,22903500
5/23/2012,8.88,9.38,8.59,9.3,9.3,28587200
5/24/2012,9.35,9.41,8.86,9.22,9.22,20583300
5/25/2012,9.22,9.36,9.15,9.3,9.3,11722000
5/29/2012,9.6,9.8,9.41,9.77,9.77,9117100
5/30/2012,9.48,9.48,9.05,9.05,9.05,15063500
5/31/2012,8.94,9.2,8.5,8.89,8.89,21307700
6/1/2012,8.25,8.5,8.14,8.15,8.15,22032000
6/4/2012,8.34,8.52,8.06,8.47,8.47,18781700
6/5/2012,8.42,8.75,8.41,8.68,8.68,12844200
6/6/2012,8.95,9.34,8.88,9.34,9.34,13133000
6/7/2012,9.74,9.8,9.35,9.4,9.4,14532800
6/8/2012,9.35,9.94,9.3,9.91,9.91,10918000
6/11/2012,10.28,10.34,9.02,9.05,9.05,15304400
6/12/2012,9.09,9.23,8.79,9.19,9.19,15302700
6/13/2012,8.94,9.22,8.55,8.7,8.7,14690100
6/14/2012,8.78,9.26,8.64,9.26,9.26,13850400
6/15/2012,9.33,9.77,9.2,9.63,9.63,11112000
6/18/2012,9.68,10.48,9.58,10.45,10.45,15720100
6/19/2012,10.81,10.87,10.48,10.65,10.65,13087400
6/20/2012,10.66,11.09,10.23,11.08,11.08,13380800
6/21/2012,11.05,11.18,9.74,9.77,9.77,18055000
6/22/2012,10.12,10.83,9.95,10.78,10.78,10108200
6/25/2012,10.14,10.19,9.88,10,10,18872200
