'Date', 'todayprice', 'num_securities', 'Cash', 'Stockworth', 'Totalworth', 'Baseline Comparison'
'1/4/2000', 29.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/5/2000', 30.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/6/2000', 32.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/7/2000', 32.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/10/2000', 35.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/11/2000', 34.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/12/2000', 36.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/13/2000', 37.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/14/2000', 40.375, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/18/2000', 39.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/19/2000', 39.1875, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/20/2000', 39.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/21/2000', 37.875, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/24/2000', 34.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/25/2000', 40.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/26/2000', 37.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/27/2000', 36.9375, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/28/2000', 35.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'1/31/2000', 36.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/1/2000', 36.5625, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/2/2000', 36.0625, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/3/2000', 39.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/4/2000', 38.5625, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/7/2000', 41.3125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/8/2000', 41.375, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/9/2000', 42.0625, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/10/2000', 42.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/11/2000', 45.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/14/2000', 43.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/15/2000', 43.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/16/2000', 43.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/17/2000', 43.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/18/2000', 43.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/22/2000', 41.8125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/23/2000', 41.0625, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/24/2000', 42.5625, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/25/2000', 40.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/28/2000', 37.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'2/29/2000', 39.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/1/2000', 40.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/2/2000', 39.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/3/2000', 41.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/6/2000', 47.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/7/2000', 55.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/8/2000', 53.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/9/2000', 58.125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/10/2000', 52.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/13/2000', 51.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/14/2000', 48.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/15/2000', 49.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/16/2000', 49.1875, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/17/2000', 50.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/20/2000', 53.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/21/2000', 54.8125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/22/2000', 57.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/23/2000', 55.375, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/24/2000', 54.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/27/2000', 54.1875, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/28/2000', 55.125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/29/2000', 54.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/30/2000', 60.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'3/31/2000', 59.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/3/2000', 60.875, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/4/2000', 61.125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/5/2000', 68.375, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/6/2000', 71.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/7/2000', 75.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/10/2000', 75.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/11/2000', 70.625, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/12/2000', 76.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/13/2000', 71.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/14/2000', 66.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/17/2000', 72.625, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/18/2000', 79.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/19/2000', 75.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/20/2000', 78.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/24/2000', 81.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/25/2000', 87.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/26/2000', 82.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/27/2000', 85.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'4/28/2000', 87.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/1/2000', 88.375, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/2/2000', 89.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/3/2000', 87.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/4/2000', 90.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/5/2000', 92.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/8/2000', 88.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/9/2000', 83.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/10/2000', 79.9375, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/11/2000', 87.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/12/2000', 85.6875, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/15/2000', 85.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/16/2000', 88.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/17/2000', 85.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/18/2000', 86.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/19/2000', 83.8125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/22/2000', 80.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/23/2000', 75.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/24/2000', 72.6875, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/25/2000', 70.625, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/26/2000', 74.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/30/2000', 86.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'5/31/2000', 81.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/1/2000', 84.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/2/2000', 90.125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/5/2000', 91.125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/6/2000', 90.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/7/2000', 87.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/8/2000', 87.125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/9/2000', 88.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/12/2000', 85.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/13/2000', 88.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/14/2000', 83.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/15/2000', 82.875, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/16/2000', 82.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/19/2000', 91.8125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/20/2000', 91.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/21/2000', 95.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/22/2000', 91.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/23/2000', 87.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/26/2000', 87.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/27/2000', 84.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/28/2000', 80.6875, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/29/2000', 76.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'6/30/2000', 77.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/3/2000', 84.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/5/2000', 75.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/6/2000', 77.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/7/2000', 82.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/10/2000', 85.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/11/2000', 83.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/12/2000', 84.3125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/13/2000', 85.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/14/2000', 90.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/17/2000', 91.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/18/2000', 91.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/19/2000', 90.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/20/2000', 86.125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/21/2000', 80.125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/24/2000', 78.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/25/2000', 78.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/26/2000', 76.1875, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/27/2000', 70.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/28/2000', 71.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'7/31/2000', 72.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/1/2000', 67.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/2/2000', 62.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/3/2000', 65.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/4/2000', 62.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/7/2000', 65.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/8/2000', 61.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/9/2000', 61.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/10/2000', 57.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/11/2000', 57.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/14/2000', 63.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/15/2000', 64.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/16/2000', 65.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/17/2000', 68.125, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/18/2000', 70.25, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/21/2000', 68.1875, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/22/2000', 34.4375, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/23/2000', 34.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/24/2000', 34.9375, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/25/2000', 34.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/28/2000', 34.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/29/2000', 34.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/30/2000', 35.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'8/31/2000', 37.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'9/1/2000', 37.5, 0, 10000, 0.0, 10000.0, 6387.096774193549
'9/5/2000', 34.75, 0, 10000, 0.0, 10000.0, 6387.096774193549
'9/6/2000', 32.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'9/7/2000', 33.0, 0, 10000, 0.0, 10000.0, 6387.096774193549
'9/8/2000', 31.875, 0, 10000, 0.0, 10000.0, 6387.096774193549
