'Date', 'todayprice', 'num_securities', 'Cash', 'Stockworth', 'Totalworth', 'Baseline Comparison'
'1/4/2000', 50.625, 0, 10000, 0.0, 10000.0, 7945.584725536993
'1/5/2000', 50.8125, 196.0, 40.75, 9959.25, 10000.0, 7945.584725536993
'1/6/2000', 50.875, 196.0, 40.75, 9971.5, 10012.25, 7957.834725536993
'1/7/2000', 54.624996, 196.0, 40.75, 10706.499216, 10747.249216, 8692.833941536992
'1/10/2000', 53.625, 196.0, 40.75, 10510.5, 10551.25, 8496.834725536992
'1/11/2000', 52.1875, 196.0, 40.75, 10228.75, 10269.5, 8215.084725536992
'1/12/2000', 53.687496, 196.0, 40.75, 10522.749216, 10563.499216, 8509.083941536992
'1/13/2000', 53.062496, 196.0, 40.75, 10400.249216, 10440.999216, 8386.583941536992
'1/14/2000', 51.749996, 196.0, 40.75, 10142.999216, 10183.749216, 8129.333941536993
'1/18/2000', 54.249996, 196.0, 40.75, 10632.999216, 10673.749216, 8619.333941536992
'1/19/2000', 53.4375, 196.0, 40.75, 10473.75, 10514.5, 8460.084725536992
'1/20/2000', 52.2187, 196.0, 40.75, 10234.8652, 10275.6152, 8221.199925536992
'1/21/2000', 50.437496, 196.0, 40.75, 9885.749216, 9926.499216, 7872.083941536993
'1/24/2000', 51.125, 196.0, 40.75, 10020.5, 10061.25, 8006.834725536993
'1/25/2000', 50.125, 196.0, 40.75, 9824.5, 9865.25, 7810.834725536993
'1/26/2000', 48.0, 196.0, 40.75, 9408.0, 9448.75, 7394.334725536993
'1/27/2000', 49.9375, 196.0, 40.75, 9787.75, 9828.5, 7774.084725536993
'1/28/2000', 48.999996, 196.0, 40.75, 9603.999216, 9644.749216, 7590.333941536993
'1/31/2000', 49.75, 196.0, 40.75, 9751.0, 9791.75, 7737.334725536993
'2/1/2000', 49.8125, 196.0, 40.75, 9763.25, 9804.0, 7749.584725536993
'2/2/2000', 48.625, 196.0, 40.75, 9530.5, 9571.25, 7516.834725536993
'2/3/2000', 48.749996, 196.0, 40.75, 9554.999216, 9595.749216, 7541.333941536993
'2/4/2000', 48.062496, 196.0, 40.75, 9420.249216, 9460.999216, 7406.583941536993
'2/7/2000', 47.937496, 196.0, 40.75, 9395.749216, 9436.499216, 7382.083941536993
'2/8/2000', 48.125, 196.0, 40.75, 9432.5, 9473.25, 7418.834725536993
'2/9/2000', 47.1875, 196.0, 40.75, 9248.75, 9289.5, 7235.084725536993
'2/10/2000', 47.0, 196.0, 40.75, 9212.0, 9252.75, 7198.334725536993
'2/11/2000', 46.125, 196.0, 40.75, 9040.5, 9081.25, 7026.834725536993
'2/14/2000', 47.0625, 196.0, 40.75, 9224.25, 9265.0, 7210.584725536993
'2/15/2000', 46.374996, 196.0, 40.75, 9089.499216, 9130.249216, 7075.833941536993
'2/16/2000', 46.312496, 196.0, 40.75, 9077.249216, 9117.999216, 7063.583941536993
'2/17/2000', 45.875, 196.0, 40.75, 8991.5, 9032.25, 6977.834725536993
'2/18/2000', 43.375, 196.0, 40.75, 8501.5, 8542.25, 6487.834725536993
'2/22/2000', 44.062496, 196.0, 40.75, 8636.249216, 8676.999216, 6622.583941536993
'2/23/2000', 42.999996, 196.0, 40.75, 8427.999216, 8468.749216, 6414.333941536993
'2/24/2000', 42.499996, 196.0, 40.75, 8329.999216, 8370.749216, 6316.333941536993
'2/25/2000', 42.9375, 196.0, 40.75, 8415.75, 8456.5, 6402.084725536993
'2/28/2000', 42.687496, 196.0, 40.75, 8366.749216, 8407.499216, 6353.083941536993
'2/29/2000', 41.624996, 196.0, 40.75, 8158.499216, 8199.249216, 6144.833941536993
'3/1/2000', 41.593697, 196.0, 40.75, 8152.364611999999, 8193.114612, 6138.699337536992
'3/2/2000', 41.375, 196.0, 40.75, 8109.5, 8150.25, 6095.834725536993
'3/3/2000', 42.687496, 196.0, 40.75, 8366.749216, 8407.499216, 6353.083941536993
'3/6/2000', 41.937496, 196.0, 40.75, 8219.749216, 8260.499216, 6206.083941536993
'3/7/2000', 41.125, 196.0, 40.75, 8060.5, 8101.25, 6046.834725536993
'3/8/2000', 42.562496, 196.0, 40.75, 8342.249216, 8382.999216, 6328.583941536993
'3/9/2000', 41.624996, 196.0, 40.75, 8158.499216, 8199.249216, 6144.833941536993
'3/10/2000', 41.062496, 196.0, 40.75, 8048.249216, 8088.999216, 6034.583941536993
'3/13/2000', 42.562496, 196.0, 40.75, 8342.249216, 8382.999216, 6328.583941536993
'3/14/2000', 41.0, 196.0, 40.75, 8036.0, 8076.75, 6022.334725536993
'3/15/2000', 44.062496, 196.0, 40.75, 8636.249216, 8676.999216, 6622.583941536993
'3/16/2000', 43.8125, 196.0, 40.75, 8587.25, 8628.0, 6573.584725536993
'3/17/2000', 44.624996, 196.0, 40.75, 8746.499216, 8787.249216, 6732.833941536993
'3/20/2000', 43.749996, 196.0, 40.75, 8574.999216, 8615.749216, 6561.333941536993
'3/21/2000', 45.812496, 196.0, 40.75, 8979.249216, 9019.999216, 6965.583941536993
'3/22/2000', 44.0, 196.0, 40.75, 8624.0, 8664.75, 6610.334725536993
'3/23/2000', 44.5, 196.0, 40.75, 8722.0, 8762.75, 6708.334725536993
'3/24/2000', 44.624996, 196.0, 40.75, 8746.499216, 8787.249216, 6732.833941536993
'3/27/2000', 44.1875, 196.0, 40.75, 8660.75, 8701.5, 6647.084725536993
'3/28/2000', 44.5, 196.0, 40.75, 8722.0, 8762.75, 6708.334725536993
'3/29/2000', 44.8125, 196.0, 40.75, 8783.25, 8824.0, 6769.584725536993
'3/30/2000', 46.625, 196.0, 40.75, 9138.5, 9179.25, 7124.834725536993
'3/31/2000', 45.9375, 196.0, 40.75, 9003.75, 9044.5, 6990.084725536993
'4/3/2000', 47.0, 196.0, 40.75, 9212.0, 9252.75, 7198.334725536993
'4/4/2000', 49.0625, 196.0, 40.75, 9616.25, 9657.0, 7602.584725536993
'4/5/2000', 49.312496, 196.0, 40.75, 9665.249216, 9705.999216, 7651.583941536993
'4/6/2000', 49.9375, 196.0, 40.75, 9787.75, 9828.5, 7774.084725536993
'4/7/2000', 48.375, 196.0, 40.75, 9481.5, 9522.25, 7467.834725536993
'4/10/2000', 51.062496, 196.0, 40.75, 10008.249216, 10048.999216, 7994.583941536993
'4/11/2000', 51.9375, 196.0, 40.75, 10179.75, 10220.5, 8166.084725536993
'4/12/2000', 53.625, 196.0, 40.75, 10510.5, 10551.25, 8496.834725536992
'4/13/2000', 54.4375, 196.0, 40.75, 10669.75, 10710.5, 8656.084725536992
'4/14/2000', 52.25, 196.0, 40.75, 10241.0, 10281.75, 8227.334725536992
'4/17/2000', 57.0625, 196.0, 40.75, 11184.25, 11225.0, 9170.584725536992
'4/18/2000', 55.375, 196.0, 40.75, 10853.5, 10894.25, 8839.834725536992
'4/19/2000', 55.0, 196.0, 40.75, 10780.0, 10820.75, 8766.334725536992
'4/20/2000', 55.124996, 196.0, 40.75, 10804.499216, 10845.249216, 8790.833941536992
'4/24/2000', 55.312496, 196.0, 40.75, 10841.249216, 10881.999216, 8827.583941536992
'4/25/2000', 55.0, 196.0, 40.75, 10780.0, 10820.75, 8766.334725536992
'4/26/2000', 55.0, 196.0, 40.75, 10780.0, 10820.75, 8766.334725536992
'4/27/2000', 55.124996, 196.0, 40.75, 10804.499216, 10845.249216, 8790.833941536992
'4/28/2000', 54.749996, 196.0, 40.75, 10730.999216, 10771.749216, 8717.333941536992
'5/1/2000', 54.062496, 196.0, 40.75, 10596.249216, 10636.999216, 8582.583941536992
'5/2/2000', 53.25, 196.0, 40.75, 10437.0, 10477.75, 8423.334725536992
'5/3/2000', 53.062496, 196.0, 40.75, 10400.249216, 10440.999216, 8386.583941536992
'5/4/2000', 52.624996, 196.0, 40.75, 10314.499216, 10355.249216, 8300.833941536992
'5/5/2000', 52.875, 196.0, 40.75, 10363.5, 10404.25, 8349.834725536992
'5/8/2000', 53.562496, 196.0, 40.75, 10498.249216, 10538.999216, 8484.583941536992
'5/9/2000', 53.062496, 196.0, 40.75, 10400.249216, 10440.999216, 8386.583941536992
'5/10/2000', 52.25, 196.0, 40.75, 10241.0, 10281.75, 8227.334725536992
'5/11/2000', 52.9375, 196.0, 40.75, 10375.75, 10416.5, 8362.084725536992
'5/12/2000', 53.375, 196.0, 40.75, 10461.5, 10502.25, 8447.834725536992
'5/15/2000', 52.375, 196.0, 40.75, 10265.5, 10306.25, 8251.834725536992
'5/16/2000', 53.187496, 196.0, 40.75, 10424.749216, 10465.499216, 8411.083941536992
'5/17/2000', 52.375, 196.0, 40.75, 10265.5, 10306.25, 8251.834725536992
'5/18/2000', 53.625, 196.0, 40.75, 10510.5, 10551.25, 8496.834725536992
'5/19/2000', 53.4375, 196.0, 40.75, 10473.75, 10514.5, 8460.084725536992
'5/22/2000', 51.249996, 196.0, 40.75, 10044.999216, 10085.749216, 8031.333941536993
'5/23/2000', 51.375, 196.0, 40.75, 10069.5, 10110.25, 8055.834725536993
'5/24/2000', 51.9375, 196.0, 40.75, 10179.75, 10220.5, 8166.084725536993
'5/25/2000', 50.687496, 196.0, 40.75, 9934.749216, 9975.499216, 7921.083941536993
'5/26/2000', 48.1875, 196.0, 40.75, 9444.75, 9485.5, 7431.084725536993
'5/30/2000', 49.0625, 196.0, 40.75, 9616.25, 9657.0, 7602.584725536993
'5/31/2000', 48.5625, 196.0, 40.75, 9518.25, 9559.0, 7504.584725536993
'6/1/2000', 49.499996, 196.0, 40.75, 9701.999216, 9742.749216, 7688.333941536993
