'Date', 'todayprice', 'num_securities', 'Cash', 'Stockworth', 'Totalworth', 'Baseline Comparison'
'6/27/2014', 35.759998, 279.0, 22.960557999998855, 9977.039442000001, 10000.0, 7275.047862156988
'6/30/2014', 40.549999, 279.0, 22.960557999998855, 11313.449720999999, 11336.410278999998, 8611.458141156985
'7/1/2014', 48.799999, 279.0, 22.960557999998855, 13615.199720999999, 13638.160278999998, 10913.208141156985
'7/2/2014', 42.040001, 279.0, 22.960557999998855, 11729.160279, 11752.120836999999, 9027.168699156988
'7/3/2014', 41.580002, 279.0, 22.960557999998855, 11600.820558, 11623.781115999998, 8898.828978156987
'7/7/2014', 43.959999, 279.0, 22.960557999998855, 12264.839721, 12287.800279, 9562.848141156988
'7/8/2014', 42.200001, 279.0, 22.960557999998855, 11773.800279000001, 11796.760837, 9071.808699156987
'7/9/2014', 43.299999, 279.0, 22.960557999998855, 12080.699720999999, 12103.660278999998, 9378.708141156985
'7/10/2014', 41.939999, 279.0, 22.960557999998855, 11701.259721, 11724.220279, 8999.268141156987
'7/11/2014', 38.84, 279.0, 22.960557999998855, 10836.36, 10859.320558, 8134.368420156988
'7/14/2014', 36.84, 279.0, 22.960557999998855, 10278.36, 10301.320558, 7576.368420156988
'7/15/2014', 41.630001, 279.0, 22.960557999998855, 11614.770279, 11637.730837, 8912.778699156988
'7/16/2014', 40.900002, 279.0, 22.960557999998855, 11411.100558, 11434.061115999999, 8709.108978156986
'7/17/2014', 40.34, 279.0, 22.960557999998855, 11254.86, 11277.820558, 8552.868420156989
'7/18/2014', 41.43, 279.0, 22.960557999998855, 11558.97, 11581.930557999998, 8856.978420156986
'7/21/2014', 41.580002, 279.0, 22.960557999998855, 11600.820558, 11623.781115999998, 8898.828978156987
'7/22/2014', 43.099998, 279.0, 22.960557999998855, 12024.899442, 12047.859999999999, 9322.907862156986
'7/23/2014', 41.740002, 279.0, 22.960557999998855, 11645.460557999999, 11668.421115999998, 8943.468978156987
'7/24/2014', 42.189999, 279.0, 22.960557999998855, 11771.009721, 11793.970279, 9069.018141156987
'7/25/2014', 41.98, 279.0, 22.960557999998855, 11712.419999999998, 11735.380557999997, 9010.428420156986
'7/28/2014', 43.25, 279.0, 22.960557999998855, 12066.75, 12089.710557999999, 9364.758420156988
'7/29/2014', 44.07, 279.0, 22.960557999998855, 12295.53, 12318.490558, 9593.538420156987
'7/30/2014', 46.316002, 279.0, 22.960557999998855, 12922.164557999999, 12945.125115999997, 10220.172978156985
'7/31/2014', 47.970001, 279.0, 22.960557999998855, 13383.630279, 13406.590837, 10681.638699156989
'8/1/2014', 40.970001, 279.0, 22.960557999998855, 11430.630279, 11453.590837, 8728.638699156989
'8/4/2014', 38.529999, 279.0, 22.960557999998855, 10749.869721, 10772.830278999998, 8047.878141156986
'8/5/2014', 38.869999, 279.0, 22.960557999998855, 10844.729721, 10867.690278999999, 8142.738141156987
'8/6/2014', 38.720001, 279.0, 22.960557999998855, 10802.880279, 10825.840837, 8100.888699156988
'8/7/2014', 38.700001, 279.0, 22.960557999998855, 10797.300279000001, 10820.260837, 8095.308699156988
'8/8/2014', 37.650002, 279.0, 22.960557999998855, 10504.350558, 10527.311115999999, 7802.358978156987
'8/11/2014', 38.200001, 279.0, 22.960557999998855, 10657.800279000001, 10680.760837, 7955.808699156988
'8/12/2014', 38.040001, 279.0, 22.960557999998855, 10613.160279, 10636.120836999999, 7911.168699156987
'8/13/2014', 38.189999, 279.0, 22.960557999998855, 10655.009721, 10677.970279, 7953.018141156987
'8/14/2014', 39.490002, 279.0, 22.960557999998855, 11017.710557999999, 11040.671115999998, 8315.718978156987
'8/15/2014', 39.790001, 279.0, 22.960557999998855, 11101.410279, 11124.370836999999, 8399.418699156988
'8/18/2014', 41.849998, 279.0, 22.960557999998855, 11676.149442, 11699.109999999999, 8974.157862156986
'8/19/2014', 43.360001, 279.0, 22.960557999998855, 12097.440278999999, 12120.400836999997, 9395.448699156987
'8/20/2014', 43.889999, 279.0, 22.960557999998855, 12245.309721000001, 12268.270279, 9543.31814115699
'8/21/2014', 43.169998, 279.0, 22.960557999998855, 12044.429442, 12067.39, 9342.437862156989
'8/22/2014', 43.290001, 279.0, 22.960557999998855, 12077.910279, 12100.870836999999, 9375.918699156988
'8/25/2014', 43.849998, 279.0, 22.960557999998855, 12234.149442, 12257.109999999999, 9532.157862156986
'8/26/2014', 45.290001, 279.0, 22.960557999998855, 12635.910279, 12658.870836999999, 9933.918699156988
'8/27/2014', 45.5, 279.0, 22.960557999998855, 12694.5, 12717.460557999999, 9992.508420156988
'8/28/2014', 48.900002, 279.0, 22.960557999998855, 13643.100558, 13666.061115999999, 10941.108978156986
