'Date', 'todayprice', 'num_securities', 'Cash', 'Stockworth', 'Totalworth', 'Baseline Comparison'
'1/4/2000', 139.75, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/5/2000', 140.0, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/6/2000', 137.75, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/7/2000', 145.75, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/10/2000', 146.25, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/11/2000', 144.5, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/12/2000', 143.0625, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/13/2000', 145.0, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/14/2000', 146.968704, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/18/2000', 145.8125, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/19/2000', 147.0, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/20/2000', 144.75, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/21/2000', 144.4375, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/24/2000', 140.343704, 0, 10000, 0.0, 10000.0, -6214.525620971208
'1/25/2000', 141.9375, 70.0, 64.375, 9935.625, 10000.0, -6214.525620971208
'1/26/2000', 140.8125, 70.0, 64.375, 9856.875, 9921.25, -6293.275620971208
'1/27/2000', 140.25, 70.0, 64.375, 9817.5, 9881.875, -6332.650620971208
'1/28/2000', 135.875, 70.0, 64.375, 9511.25, 9575.625, -6638.900620971208
'1/31/2000', 139.5625, 70.0, 64.375, 9769.375, 9833.75, -6380.775620971208
'2/1/2000', 140.9375, 70.0, 64.375, 9865.625, 9930.0, -6284.525620971208
'2/2/2000', 141.0625, 70.0, 64.375, 9874.375, 9938.75, -6275.775620971208
'2/3/2000', 143.1875, 70.0, 64.375, 10023.125, 10087.5, -6127.025620971208
'2/4/2000', 142.593704, 70.0, 64.375, 9981.55928, 10045.93428, -6168.591340971208
'2/7/2000', 142.375, 70.0, 64.375, 9966.25, 10030.625, -6183.900620971208
'2/8/2000', 144.3125, 70.0, 64.375, 10101.875, 10166.25, -6048.275620971208
'2/9/2000', 141.281204, 70.0, 64.375, 9889.68428, 9954.05928, -6260.466340971208
'2/10/2000', 141.5625, 70.0, 64.375, 9909.375, 9973.75, -6240.775620971208
'2/11/2000', 138.6875, 70.0, 64.375, 9708.125, 9772.5, -6442.025620971208
'2/14/2000', 139.5, 70.0, 64.375, 9765.0, 9829.375, -6385.150620971208
'2/15/2000', 141.078094, 70.0, 64.375, 9875.46658, 9939.84158, -6274.684040971208
