'Date', 'todayprice', 'num_securities', 'Cash', 'Stockworth', 'Totalworth', 'Baseline Comparison'
'4/24/2012', 137.309998, 0, 10000.0, 0.0, 10000.0, -7204.474599249377
'4/25/2012', 139.190002, 71.0, 117.50985800000126, 9882.490141999999, 10000.0, -7204.474599249377
'4/26/2012', 140.160004, 71.0, 117.50985800000126, 9951.360283999999, 10068.870142, -7135.604457249377
'4/27/2012', 140.389999, 71.0, 117.50985800000126, 9967.689929, 10085.199787000001, -7119.274812249376
'4/30/2012', 139.869995, 71.0, 117.50985800000126, 9930.769644999998, 10048.279503, -7156.1950962493775
'5/1/2012', 140.740005, 71.0, 117.50985800000126, 9992.540355, 10110.050213, -7094.424386249377
'5/2/2012', 140.320007, 71.0, 117.50985800000126, 9962.720497, 10080.230355000002, -7124.244244249376
'5/3/2012', 139.25, 71.0, 117.50985800000126, 9886.75, 10004.259858000001, -7200.214741249376
'5/4/2012', 137.0, 71.0, 117.50985800000126, 9727.0, 9844.509858000001, -7359.964741249376
'5/7/2012', 137.100006, 71.0, 117.50985800000126, 9734.100426, 9851.610284000002, -7352.864315249375
'5/8/2012', 136.550003, 71.0, 117.50985800000126, 9695.050213, 9812.560071000002, -7391.9145282493755
'5/9/2012', 135.740005, 71.0, 117.50985800000126, 9637.540355, 9755.050213, -7449.424386249377
'5/10/2012', 136.020004, 71.0, 117.50985800000126, 9657.420284, 9774.930142000001, -7429.544457249376
'5/11/2012', 135.610001, 71.0, 117.50985800000126, 9628.310071, 9745.819929000001, -7458.654670249376
'5/14/2012', 134.110001, 71.0, 117.50985800000126, 9521.810071, 9639.319929000001, -7565.154670249376
'5/15/2012', 133.339996, 71.0, 117.50985800000126, 9467.139716000001, 9584.649574000003, -7619.825025249374
'5/16/2012', 132.830002, 71.0, 117.50985800000126, 9430.930142000001, 9548.440000000002, -7656.034599249375
'5/17/2012', 130.860001, 71.0, 117.50985800000126, 9291.060071, 9408.569929000001, -7795.904670249376
'5/18/2012', 129.740005, 71.0, 117.50985800000126, 9211.540355, 9329.050213, -7875.424386249377
'5/21/2012', 131.970001, 71.0, 117.50985800000126, 9369.870071, 9487.379929, -7717.094670249377
'5/22/2012', 132.199997, 71.0, 117.50985800000126, 9386.199787, 9503.709645, -7700.764954249376
'5/23/2012', 132.270004, 71.0, 117.50985800000126, 9391.170284, 9508.680142000001, -7695.794457249376
'5/24/2012', 132.529999, 71.0, 117.50985800000126, 9409.629929, 9527.139787000002, -7677.334812249375
'5/25/2012', 132.100006, 71.0, 117.50985800000126, 9379.100426, 9496.610284000002, -7707.864315249375
'5/29/2012', 133.699997, 71.0, 117.50985800000126, 9492.699787, 9610.209645, -7594.264954249376
'5/30/2012', 131.759995, 71.0, 117.50985800000126, 9354.959645, 9472.469503000002, -7732.005096249375
'5/31/2012', 131.470001, 71.0, 117.50985800000126, 9334.370071, 9451.879929, -7752.594670249377
'6/1/2012', 128.160004, 71.0, 117.50985800000126, 9099.360283999999, 9216.870142, -7987.604457249377
'6/4/2012', 128.100006, 71.0, 117.50985800000126, 9095.100426, 9212.610284000002, -7991.864315249375
'6/5/2012', 129.070007, 71.0, 117.50985800000126, 9163.970497, 9281.480355000002, -7922.994244249376
'6/6/2012', 131.970001, 71.0, 117.50985800000126, 9369.870071, 9487.379929, -7717.094670249377
'6/7/2012', 132.050003, 71.0, 117.50985800000126, 9375.550213, 9493.060071000002, -7711.4145282493755
'6/8/2012', 133.100006, 71.0, 117.50985800000126, 9450.100426, 9567.610284000002, -7636.864315249375
'6/11/2012', 131.410004, 71.0, 117.50985800000126, 9330.110283999999, 9447.620142, -7756.854457249377
'6/12/2012', 132.919998, 71.0, 117.50985800000126, 9437.319857999999, 9554.829716, -7649.644883249377
'6/13/2012', 132.070007, 71.0, 117.50985800000126, 9376.970497, 9494.480355000002, -7709.994244249376
'6/14/2012', 133.470001, 71.0, 117.50985800000126, 9476.370071, 9593.879929, -7610.594670249377
'6/15/2012', 134.139999, 71.0, 117.50985800000126, 9523.939929, 9641.449787000001, -7563.024812249376
'6/18/2012', 134.399994, 71.0, 117.50985800000126, 9542.399574, 9659.909432, -7544.565167249377
'6/19/2012', 135.699997, 71.0, 117.50985800000126, 9634.699787, 9752.209645, -7452.264954249376
'6/20/2012', 135.479996, 71.0, 117.50985800000126, 9619.079716, 9736.589574000001, -7467.885025249376
'6/21/2012', 132.440002, 71.0, 117.50985800000126, 9403.240141999999, 9520.75, -7683.724599249377
'6/22/2012', 133.460007, 71.0, 117.50985800000126, 9475.660496999999, 9593.170355, -7611.304244249377
'6/25/2012', 131.320007, 71.0, 117.50985800000126, 9323.720497, 9441.230355000002, -7763.244244249376
'6/26/2012', 131.979996, 71.0, 117.50985800000126, 9370.579716, 9488.089574000001, -7716.385025249376
'6/27/2012', 133.169998, 71.0, 117.50985800000126, 9455.069857999999, 9572.579716, -7631.894883249377
'6/28/2012', 132.789993, 71.0, 117.50985800000126, 9428.089503000001, 9545.599361000002, -7658.875238249375
'6/29/2012', 136.100006, 71.0, 117.50985800000126, 9663.100426, 9780.610284000002, -7423.864315249375
'7/2/2012', 136.509995, 71.0, 117.50985800000126, 9692.209645, 9809.719503000002, -7394.755096249375
'7/3/2012', 137.410004, 71.0, 117.50985800000126, 9756.110283999999, 9873.620142, -7330.854457249377
'7/5/2012', 136.789993, 71.0, 117.50985800000126, 9712.089503000001, 9829.599361000002, -7374.875238249375
'7/6/2012', 135.490005, 71.0, 117.50985800000126, 9619.790355, 9737.300213, -7467.174386249377
'7/9/2012', 135.320007, 71.0, 117.50985800000126, 9607.720497, 9725.230355000002, -7479.244244249376
'7/10/2012', 134.139999, 71.0, 117.50985800000126, 9523.939929, 9641.449787000001, -7563.024812249376
'7/11/2012', 134.160004, 71.0, 117.50985800000126, 9525.360283999999, 9642.870142, -7561.604457249377
'7/12/2012', 133.509995, 71.0, 117.50985800000126, 9479.209645, 9596.719503000002, -7607.755096249375
'7/13/2012', 135.75, 71.0, 117.50985800000126, 9638.25, 9755.759858000001, -7448.714741249376
'7/16/2012', 135.429993, 71.0, 117.50985800000126, 9615.529503, 9733.039361000001, -7471.435238249376
'7/17/2012', 136.360001, 71.0, 117.50985800000126, 9681.560071, 9799.069929000001, -7405.404670249376
'7/18/2012', 137.369995, 71.0, 117.50985800000126, 9753.269644999998, 9870.779503, -7333.6950962493775
'7/19/2012', 137.729996, 71.0, 117.50985800000126, 9778.829716, 9896.339574000001, -7308.135025249376
'7/20/2012', 136.470001, 71.0, 117.50985800000126, 9689.370071, 9806.879929, -7397.594670249377
'7/23/2012', 135.089996, 71.0, 117.50985800000126, 9591.389716000001, 9708.899574000003, -7495.575025249374
'7/24/2012', 133.929993, 71.0, 117.50985800000126, 9509.029503, 9626.539361000001, -7577.935238249376
'7/25/2012', 133.960007, 71.0, 117.50985800000126, 9511.160496999999, 9628.670355, -7575.804244249377
'7/26/2012', 136.169998, 71.0, 117.50985800000126, 9668.069857999999, 9785.579716, -7418.894883249377
'7/27/2012', 138.679993, 71.0, 117.50985800000126, 9846.279503, 9963.789361000001, -7240.685238249376
'7/30/2012', 138.679993, 71.0, 117.50985800000126, 9846.279503, 9963.789361000001, -7240.685238249376
'7/31/2012', 137.710007, 71.0, 117.50985800000126, 9777.410496999999, 9894.920355, -7309.554244249377
'8/1/2012', 137.589996, 71.0, 117.50985800000126, 9768.889716000001, 9886.399574000003, -7318.075025249374
'8/2/2012', 136.639999, 71.0, 117.50985800000126, 9701.439929, 9818.949787000001, -7385.524812249376
'8/3/2012', 139.350006, 71.0, 117.50985800000126, 9893.850426, 10011.360284000002, -7193.114315249375
'8/6/2012', 139.619995, 71.0, 117.50985800000126, 9913.019644999998, 10030.529503, -7173.9450962493775
'8/7/2012', 140.320007, 71.0, 117.50985800000126, 9962.720497, 10080.230355000002, -7124.244244249376
'8/8/2012', 140.490005, 71.0, 117.50985800000126, 9974.790355, 10092.300213, -7112.174386249377
'8/9/2012', 140.610001, 71.0, 117.50985800000126, 9983.310071, 10100.819929000001, -7103.654670249376
'8/10/2012', 140.839996, 71.0, 117.50985800000126, 9999.639716000001, 10117.149574000003, -7087.325025249374
'8/13/2012', 140.770004, 71.0, 117.50985800000126, 9994.670284, 10112.180142000001, -7092.294457249376
'8/14/2012', 140.789993, 71.0, 117.50985800000126, 9996.089503000001, 10113.599361000002, -7090.875238249375
'8/15/2012', 140.949997, 71.0, 117.50985800000126, 10007.449787, 10124.959645, -7079.514954249376
'8/16/2012', 141.990005, 71.0, 117.50985800000126, 10081.290355, 10198.800213, -7005.674386249377
'8/17/2012', 142.179993, 71.0, 117.50985800000126, 10094.779503, 10212.289361000001, -6992.185238249376
'8/20/2012', 142.190002, 71.0, 117.50985800000126, 10095.490141999999, 10213.0, -6991.474599249377
'8/21/2012', 141.759995, 71.0, 117.50985800000126, 10064.959645, 10182.469503000002, -7022.005096249375
'8/22/2012', 141.820007, 71.0, 117.50985800000126, 10069.220497, 10186.730355000002, -7017.744244249376
'8/23/2012', 140.660004, 71.0, 117.50985800000126, 9986.860283999999, 10104.370142, -7100.104457249377
