'Date', 'todayprice', 'num_securities', 'Cash', 'Stockworth', 'Totalworth', 'Baseline Comparison'
'5/8/2012', 75.760002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/9/2012', 75.370003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/10/2012', 75.580002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/11/2012', 75.480003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/14/2012', 74.480003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/15/2012', 74.260002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/16/2012', 73.760002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/17/2012', 71.889999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/18/2012', 71.230003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/21/2012', 72.809998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/22/2012', 72.68, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/23/2012', 73.099998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/24/2012', 73.239998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/25/2012', 73.220001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/29/2012', 74.239998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/30/2012', 72.870003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'5/31/2012', 72.68, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/1/2012', 70.419998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/4/2012', 70.190002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/5/2012', 71.080002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/6/2012', 72.839996, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/7/2012', 72.410004, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/8/2012', 73.239998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/11/2012', 71.699997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/12/2012', 72.599998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/13/2012', 71.790001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/14/2012', 72.550003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/15/2012', 73.370003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/18/2012', 73.629997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/19/2012', 74.809998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/20/2012', 74.760002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/21/2012', 72.910004, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/22/2012', 73.639999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/25/2012', 72.43, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/26/2012', 72.760002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/27/2012', 73.769997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/28/2012', 73.860001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'6/29/2012', 76.040001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/2/2012', 76.769997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/3/2012', 77.730003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/5/2012', 77.709999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/6/2012', 76.830002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/9/2012', 76.580002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/10/2012', 75.68, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/11/2012', 75.389999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/12/2012', 75.190002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/13/2012', 76.18, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/16/2012', 75.889999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/17/2012', 76.190002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/18/2012', 76.599998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/19/2012', 76.43, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/20/2012', 75.580002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/23/2012', 74.410004, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/24/2012', 73.519997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/25/2012', 73.580002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/26/2012', 74.410004, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/27/2012', 76.120003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/30/2012', 75.790001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'7/31/2012', 75.279999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/1/2012', 74.269997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/2/2012', 73.870003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/3/2012', 75.540001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/6/2012', 76.07, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/7/2012', 76.790001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/8/2012', 76.779999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/9/2012', 77.080002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/10/2012', 76.959999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/13/2012', 76.870003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/14/2012', 76.669998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/15/2012', 77.220001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/16/2012', 77.980003, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/17/2012', 78.470001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/20/2012', 78.220001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/21/2012', 78.330002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/22/2012', 78.040001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/23/2012', 77.510002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/24/2012', 77.709999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/27/2012', 77.82, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/28/2012', 78.160004, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/29/2012', 78.339996, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/30/2012', 77.669998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'8/31/2012', 77.959999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/4/2012', 78.900002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/5/2012', 78.860001, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/6/2012', 80.309998, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/7/2012', 80.879997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/10/2012', 80.519997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/11/2012', 80.699997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/12/2012', 81.129997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/13/2012', 82.019997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/14/2012', 82.940002, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/17/2012', 82.339996, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/18/2012', 82.029999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/19/2012', 82.0, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/20/2012', 81.629997, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/21/2012', 81.779999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
'9/24/2012', 81.389999, 0, 10000.0, 0.0, 10000.0, -7720.451919434643
