'Date', 'todayprice', 'num_securities', 'Cash', 'Stockworth', 'Totalworth', 'Baseline Comparison'
'2/2/2004', 49.200001, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/3/2004', 49.07, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/4/2004', 48.049999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/5/2004', 48.200001, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/6/2004', 49.349998, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/9/2004', 49.689999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/10/2004', 49.970001, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/11/2004', 50.549999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/12/2004', 50.299999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/13/2004', 49.799999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/17/2004', 50.349998, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/18/2004', 50.299999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/19/2004', 50.200001, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/20/2004', 49.439999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/23/2004', 48.580002, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/24/2004', 48.68, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/25/2004', 48.950001, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/26/2004', 49.5, 0, 10000, 0.0, 10000.0, -16755.103265306127
'2/27/2004', 50.0, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/1/2004', 50.490002, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/2/2004', 50.599998, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/3/2004', 50.549999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/4/2004', 50.799999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/5/2004', 51.240002, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/8/2004', 50.59, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/9/2004', 49.98, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/10/2004', 49.0, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/11/2004', 48.75, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/12/2004', 49.34, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/15/2004', 48.470001, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/16/2004', 48.549999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/17/2004', 49.450001, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/18/2004', 48.950001, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/19/2004', 48.93, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/22/2004', 47.900002, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/23/2004', 48.119999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/24/2004', 48.040001, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/25/2004', 48.639999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/26/2004', 48.970001, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/29/2004', 49.509998, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/30/2004', 50.209999, 0, 10000, 0.0, 10000.0, -16755.103265306127
'3/31/2004', 50.400002, 0, 10000, 0.0, 10000.0, -16755.103265306127
'4/1/2004', 50.700001, 0, 10000, 0.0, 10000.0, -16755.103265306127
'4/2/2004', 51.419998, 0, 10000, 0.0, 10000.0, -16755.103265306127
'4/5/2004', 51.34, 0, 10000, 0.0, 10000.0, -16755.103265306127
'4/6/2004', 51.200001, 0, 10000, 0.0, 10000.0, -16755.103265306127
