Date,Open,High,Low,Close,Volume,Adj Close
4/27/2017,10.72,11.08,10.33,10.36,0,10.36
4/26/2017,10.61,10.89,10.39,10.85,0,10.85
4/25/2017,10.81,11.15,10.22,10.76,0,10.76
4/24/2017,11.56,12.01,10.82,10.84,0,10.84
4/21/2017,13.85,15.33,13.85,14.63,0,14.63
4/20/2017,14.59,14.81,13.83,14.15,0,14.15
4/19/2017,14,15.15,13.46,14.93,0,14.93
4/18/2017,14.5,15.5,14.29,14.42,0,14.42
4/17/2017,16.190001,16.280001,14.6,14.66,0,14.66
4/13/2017,15.89,16.219999,14.97,15.96,0,15.96
4/12/2017,15.16,16.16,14.84,15.77,0,15.77
4/11/2017,14.32,15.88,14.17,15.07,0,15.07
4/10/2017,13.24,14.11,12.94,14.05,0,14.05
4/7/2017,13.17,13.43,12.23,12.87,0,12.87
4/6/2017,13.11,13.22,11.7,12.39,0,12.39
4/5/2017,11.89,12.89,10.9,12.89,0,12.89
4/4/2017,12.71,13.07,11.7,11.79,0,11.79
4/3/2017,12.59,13.59,12.27,12.38,0,12.38
3/31/2017,11.61,12.54,11.5,12.37,0,12.37
3/30/2017,11.37,11.64,11.12,11.54,0,11.54
3/29/2017,11.54,11.7,11.03,11.42,0,11.42
3/28/2017,12.44,12.67,11.34,11.53,0,11.53
3/27/2017,14.78,15.11,12.48,12.5,0,12.5
3/24/2017,12.86,14.16,12.27,12.96,0,12.96
3/23/2017,12.65,13.17,12.18,13.12,0,13.12
3/22/2017,12.95,13.16,11.99,12.81,0,12.81
3/21/2017,11.15,12.85,10.92,12.47,0,12.47
3/20/2017,11.71,11.72,11.03,11.34,0,11.34
3/17/2017,11.38,11.38,10.78,11.28,0,11.28
3/16/2017,11.29,11.55,11.16,11.21,0,11.21
3/15/2017,12.12,12.25,10.6,11.63,0,11.63
3/14/2017,11.39,12.54,11.28,12.3,0,12.3
3/13/2017,12.16,12.23,11.29,11.35,0,11.35
3/10/2017,11.97,12.09,11.46,11.66,0,11.66
3/9/2017,11.75,12.43,11.62,12.3,0,12.3
3/8/2017,11.49,11.86,11.09,11.86,0,11.86
3/7/2017,11.27,11.58,11.04,11.45,0,11.45
3/6/2017,11.59,11.72,11.06,11.24,0,11.24
3/3/2017,11.96,11.97,10.94,10.96,0,10.96
3/2/2017,12.43,12.71,11.32,11.81,0,11.81
3/1/2017,12.31,12.58,11.78,12.54,0,12.54
2/28/2017,12.19,12.96,12.13,12.92,0,12.92
2/27/2017,11.78,12.14,11.53,12.09,0,12.09
2/24/2017,11.81,12.59,11.34,11.47,0,11.47
2/23/2017,11.66,12.46,11.54,11.71,0,11.71
2/22/2017,11.48,12.07,11.44,11.74,0,11.74
2/21/2017,12.05,12.09,11.5,11.57,0,11.57
2/17/2017,11.84,12.26,11.37,11.49,0,11.49
2/16/2017,12.02,12.86,11.69,11.76,0,11.76
2/15/2017,10.84,12.01,10.8,11.97,0,11.97
2/14/2017,11.17,11.34,10.73,10.74,0,10.74
2/13/2017,11.36,11.4,11.07,11.07,0,11.07
2/10/2017,10.85,10.95,10.55,10.85,0,10.85
2/9/2017,11.44,11.53,10.74,10.88,0,10.88
2/8/2017,11.19,11.82,11.15,11.45,0,11.45
2/7/2017,11.39,11.67,11.06,11.29,0,11.29
2/6/2017,11.37,11.84,11.09,11.37,0,11.37
2/3/2017,11.84,11.84,10.72,10.97,0,10.97
2/2/2017,12.37,12.47,11.62,11.93,0,11.93
2/1/2017,11.79,12.05,9.97,11.81,0,11.81
1/31/2017,12.29,12.99,11.79,11.99,0,11.99
1/30/2017,11.1,12.9,11.1,11.88,0,11.88
1/27/2017,10.57,10.82,10.3,10.58,0,10.58
1/26/2017,10.61,11.01,10.6,10.63,0,10.63
1/25/2017,10.79,11.05,10.51,10.81,0,10.81
1/24/2017,11.82,11.89,11.04,11.07,0,11.07
1/23/2017,12.3,12.62,11.59,11.77,0,11.77
1/20/2017,12.58,12.59,11.53,11.54,0,11.54
1/19/2017,12.58,13.28,12.17,12.78,0,12.78
1/18/2017,11.79,12.81,11.69,12.48,0,12.48
1/17/2017,12.2,12.75,11.79,11.87,0,11.87
1/13/2017,11.45,11.62,10.94,11.23,0,11.23
1/12/2017,11.48,12.6,11.32,11.54,0,11.54
1/11/2017,11.56,12.23,11.21,11.26,0,11.26
1/10/2017,11.59,11.79,11.31,11.49,0,11.49
1/9/2017,11.71,12.08,11.46,11.56,0,11.56
1/6/2017,11.7,11.74,10.98,11.32,0,11.32
1/5/2017,11.96,12.09,11.4,11.67,0,11.67
1/4/2017,12.78,12.8,11.63,11.85,0,11.85
1/3/2017,14.07,14.07,12.85,12.85,0,12.85
12/30/2016,13.2,14.68,13.05,14.04,0,14.04
12/29/2016,13.15,13.71,12.95,13.37,0,13.37
12/28/2016,11.89,13.04,11.85,12.95,0,12.95
12/27/2016,12.26,12.33,11.84,11.99,0,11.99
12/23/2016,11.38,11.81,11.35,11.44,0,11.44
12/22/2016,11.32,11.67,11.14,11.43,0,11.43
12/21/2016,11.44,11.49,10.93,11.27,0,11.27
12/20/2016,11.65,11.75,11.38,11.45,0,11.45
12/19/2016,12.5,12.52,11.67,11.71,0,11.71
12/16/2016,12.88,12.95,12.15,12.2,0,12.2
12/15/2016,13.07,13.24,12.46,12.79,0,12.79
12/14/2016,12.88,13.39,12.48,13.19,0,13.19
12/13/2016,12.46,13.42,12.34,12.72,0,12.72
12/12/2016,12.23,12.78,12.07,12.64,0,12.64
12/9/2016,12.59,12.72,11.67,11.75,0,11.75
12/8/2016,12.1,13.4,11.3,12.64,0,12.64
12/7/2016,11.59,12.24,11.33,12.22,0,12.22
12/6/2016,12.19,12.3,11.54,11.79,0,11.79
12/5/2016,13.75,13.77,12.14,12.14,0,12.14
12/2/2016,14.16,14.48,12.39,14.12,0,14.12
12/1/2016,13.4,14.72,13.05,14.07,0,14.07
11/30/2016,12.6,13.42,12.23,13.33,0,13.33
11/29/2016,13.07,13.55,12.62,12.9,0,12.9
11/28/2016,13.4,13.5,12.74,13.15,0,13.15
11/25/2016,12.52,12.74,12.31,12.34,0,12.34
11/23/2016,12.34,13.01,12.19,12.43,0,12.43
11/22/2016,12.26,12.83,12.2,12.41,0,12.41
